 Mean Annual production (in millions) of Barley over States and Decades,,,,
,States,1990:1999,2000:2009,2000:2017
1,IDAHO,11.9417619,10.268,4.5765
2,MINNESOTA,2.999405357,1.371822222,2.3662
3,MONTANA,3.445821429,2.305083333,3.195375
4,NORTH DAKOTA,8.532017857,5.639833333,4.2105625
5,WYOMING,1.865769231,1.93244375,1.815857143
